REGION_NAME,SYSTEM_ID,SYSTEM_NAME,ABANK_MRID,SBTRN_SUB_KEY,SBTRN_SUB_SECTION_NAME,SBTRN_SUB_ALIASNAME,SBTRN_SUB_TYPE,SBTRN_SUB_KEY,SUB_KEY,SUB_ID,SUB_NUM,SUB_NAME,SUB_LATITUDE,SUB_LONGITUDE,SUB_TYPE,SUB_PARENT_KEY,CIRCUIT_KEY,CIRCUIT_NAME,CIRCUIT_KV
METRO EAST,20,MESA,B1C74AB01D64D8C0E053A040810A12E1,ABK_284_5012,,MESA,A-BANK,ABK_284_5012,SUB_403_5122,403,5122,GARVEY,34.063312,-118.090928,D -- DISTRIBUTION,SUB_400_5116,CKT_2008_01180,BARTLETT,4
METRO WEST,48,LIGHTHIPE,B1C74AB01D81D8C0E053A040810A12E1,ABK_356_5073,SEC_AB,LIGHTHIPE,A-BANK,ABK_356_5073,SUB_823_5701,823,5701,ALON,33.83482,-118.247438,S -- SUB-TRANSMISSION,,CKT_3501_05603,EDGAR,12
ORANGE,24,JOHANNA,B3C018FE52F0775BE053A040810A3360,ABK_2231_5085,SEC_A,JOHANNA,A-BANK,ABK_2231_5085,SUB_933_5821,933,5821,FAIRVIEW,33.693593,-117.867516,S -- SUB-TRANSMISSION,,CKT_3897_01390,BEGONIA,12
METRO EAST,21,RIO HONDO,B1C83FDA093795B9E053A140810ACB23,ABK_287_5013,,RIO HONDO,A-BANK,ABK_287_5013,SUB_286_5013,286,5013,RIO HONDO,34.104883,-117.98117,T -- TRANSMISSION,,CKT_92_16775,SPILLWAY,16
RURALS,66,VICTOR,B1C74AB01D4BD8C0E053A040810A12E1,ABK_1622_8049,,VICTOR,A-BANK,ABK_1622_8049,SUB_1785_8027,1785,8027,COTTONWOOD,34.372416,-116.861267,D -- DISTRIBUTION,,CKT_4123_04516,CUSHENBURY,33
METRO WEST,26,EL NIDO,B1C74AB01D69D8C0E053A040810A12E1,ABK_301_5023,,EL NIDO,A-BANK,ABK_301_5023,SUB_481_5213,481,5213,LENNOX,33.942218,-118.347358,D -- DISTRIBUTION,SUB_480_5213,CKT_2583_03290,CENTURY,4
METRO WEST,47,HINSON,B1C74AB01D80D8C0E053A040810A12E1,ABK_351_5071,,HINSON,A-BANK,ABK_351_5071,SUB_843_5722,843,5722,PICO,33.765409,-118.206137,S -- SUB-TRANSMISSION,,CKT_3373_11332,MAST,12
METRO EAST,40,CHINO,B1C74AB01D76D8C0E053A040810A12E1,ABK_2215_5062,SEC_A,CHINO,A-BANK,ABK_2215_5062,SUB_781_5648,781,5648,NAROD,34.047017,-117.67467,S -- SUB-TRANSMISSION,,CKT_1685_19133,WEEKS,12
NORTH COAST,33,SAUGUS,B1C74AB01D4ED8C0E053A040810A12E1,ABK_316_5051,,SAUGUS,A-BANK,ABK_316_5051,SUB_688_5555,688,5555,CHATSWORTH,34.236745,-118.702969,S -- SUB-TRANSMISSION,,CKT_3005_05930,ENERGY,16
ORANGE,59,SANTIAGO,B1C74AB01D8AD8C0E053A040810A12E1,ABK_381_5088,SEC_A,SANTIAGO,A-BANK,ABK_381_5088,SUB_1024_5865,1024,5865,ESTRELLA,33.687516,-117.828464,S -- SUB-TRANSMISSION,,CKT_253_16935,STARGAZER,12
DESERT,3,SAN BERNARDINO,B1C74AB01D47D8C0E053A040810A12E1,ABK_142_8076,,SAN BERNARDINO,A-BANK,ABK_142_8076,SUB_736_5608,736,5608,CARDIFF,34.102182,-117.278074,D -- DISTRIBUTION,,CKT_1556_16370,SHOPS,12
METRO EAST,20,MESA,B1C74AB01D64D8C0E053A040810A12E1,ABK_284_5012,,MESA,A-BANK,ABK_284_5012,SUB_399_5115,399,5115,EATON,34.161997,-118.085783,S -- SUB-TRANSMISSION,,CKT_2799_05790,ELMER,16
ORANGE,59,SANTIAGO,B1C74AB01D89D8C0E053A040810A12E1,ABK_380_5088,SEC_C,SANTIAGO,A-BANK,ABK_380_5088,SUB_1001_5896,1001,5896,NIGUEL,33.563838,-117.714918,S -- SUB-TRANSMISSION,,CKT_4749_18176,TROMBONE,12
